data,count
620,0
617,1
614,2
612,3
615,4
616,5
612,6
610,7
610,8
614,9
611,10
609,11
609,12
614,13
613,14
611,15
609,16
614,17
617,18
613,19
612,20
613,21
619,22
616,23
612,24
612,25
616,26
613,27
610,28
608,29
611,30
613,31
609,32
607,33
609,34
614,35
612,36
611,37
613,38
621,39
623,40
625,41
629,42
639,43
646,44
651,45
655,46
661,47
670,48
670,49
666,50
663,51
662,52
651,53
637,54
622,55
610,56
595,57
580,58
566,59
558,60
554,61
546,62
539,63
537,64
542,65
542,66
544,67
550,68
560,69
568,70
571,71
573,72
578,73
585,74
586,75
586,76
589,77
596,78
599,79
600,80
603,81
613,82
620,83
625,84
630,85
638,86
646,87
647,88
646,89
647,90
651,91
646,92
641,93
635,94
634,95
629,96
620,97
614,98
611,99
609,100
602,101
592,102
584,103
577,104
562,105
543,106
529,107
523,108
517,109
510,110
509,111
515,112
529,113
546,114
571,115
597,116
624,117
638,118
640,119
634,120
622,121
598,122
562,123
529,124
506,125
490,126
476,127
465,128
460,129
461,130
457,131
456,132
457,133
465,134
473,135
485,136
503,137
528,138
557,139
581,140
602,141
622,142
641,143
650,144
647,145
623,146
579,147
527,148
483,149
457,150
441,151
431,152
422,153
415,154
414,155
422,156
432,157
448,158
462,159
476,160
484,161
488,162
492,163
495,164
498,165
500,166
501,167
504,168
509,169
510,170
511,171
511,172
514,173
515,174
514,175
514,176
515,177
515,178
510,179
498,180
480,181
459,182
434,183
417,184
406,185
403,186
401,187
402,188
414,189
450,190
504,191
553,192
586,193
609,194
624,195
625,196
613,197
594,198
574,199
554,200
538,201
538,202
552,203
574,204
594,205
615,206
635,207
652,208
648,209
598,210
523,211
476,212
449,213
434,214
427,215
428,216
438,217
451,218
467,219
483,220
498,221
503,222
508,223
511,224
518,225
519,226
519,227
515,228
513,229
504,230
486,231
465,232
452,233
446,234
441,235
438,236
438,237
446,238
458,239
479,240
512,241
548,242
581,243
605,244
623,245
637,246
651,247
657,248
660,249
